date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:55:22	12734/12734	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Mon,%2010%20Oct%202022%2019:55:22%20GMT	https://mtrp.store/%d8%a7%d9%84%d9%85%d9%86%d8%a7%d8%b2%d9%84/c829862392	C:/Users/WDAGUtilityAccount/Downloads/hgfjgfjbvhr/mtrp.store/%d8%a7%d9%84%d9%85%d9%86%d8%a7%d8%b2%d9%84/c829862392.html	(from https://mtrp.store/)
22:55:23	797/797	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2010%20Oct%202022%2019:55:23%20GMT	https://mtrp.store/ar/category/wWPArK	C:/Users/WDAGUtilityAccount/Downloads/hgfjgfjbvhr/mtrp.store/ar/category/wWPArK.25.delayed	(from https://mtrp.store/)
22:55:23	62880/62880	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2019:55:23%20GMT	https://mtrp.store/%d8%a7%d9%84%d8%af%d8%ae%d9%88%d9%84-%d8%a7%d9%84%d8%b3%d8%b1%d9%8a%d8%b9/c735061148	C:/Users/WDAGUtilityAccount/Downloads/hgfjgfjbvhr/mtrp.store/%d8%a7%d9%84%d8%af%d8%ae%d9%88%d9%84-%d8%a7%d9%84%d8%b3%d8%b1%d9%8a%d8%b9/c735061148.html	(from https://mtrp.store/)
22:55:24	761/761	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2010%20Oct%202022%2019:55:24%20GMT	https://mtrp.store/ar/category/DRBRg	C:/Users/WDAGUtilityAccount/Downloads/hgfjgfjbvhr/mtrp.store/ar/category/DRBRg.27.delayed	(from https://mtrp.store/)
22:55:24	12446/12446	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Mon,%2010%20Oct%202022%2019:55:25%20GMT	https://mtrp.store/%d8%a7%d9%84%d8%b9%d8%b6%d9%88%d9%8a%d8%a7%d8%aa/c613710790	C:/Users/WDAGUtilityAccount/Downloads/hgfjgfjbvhr/mtrp.store/%d8%a7%d9%84%d8%b9%d8%b6%d9%88%d9%8a%d8%a7%d8%aa/c613710790.html	(from https://mtrp.store/)
22:55:25	817/817	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2010%20Oct%202022%2019:55:25%20GMT	https://mtrp.store/ar/oowGQZ	C:/Users/WDAGUtilityAccount/Downloads/hgfjgfjbvhr/mtrp.store/ar/oowGQZ	(from https://mtrp.store/)
22:55:25	15218/15218	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Mon,%2010%20Oct%202022%2019:55:26%20GMT	https://mtrp.store/%d8%af%d8%b9%d9%85-%d8%a7%d9%84%d8%b3%d9%8a%d8%b1%d9%81%d8%b1-donate-5/p163766677	C:/Users/WDAGUtilityAccount/Downloads/hgfjgfjbvhr/mtrp.store/%d8%af%d8%b9%d9%85-%d8%a7%d9%84%d8%b3%d9%8a%d8%b1%d9%81%d8%b1-donate-5/p163766677.html	(from https://mtrp.store/)
22:55:27	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263401421-302c%22	https://mtrp.store/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/Users/WDAGUtilityAccount/Downloads/hgfjgfjbvhr/mtrp.store/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://mtrp.store/)
22:55:27	76529/76529	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2019:55:27%20GMT	https://mtrp.store/?currency=USD	C:/Users/WDAGUtilityAccount/Downloads/hgfjgfjbvhr/mtrp.store/index0307.html	(from https://mtrp.store/)
22:55:27	76772/76772	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2019:55:27%20GMT	https://mtrp.store/?currency=AED	C:/Users/WDAGUtilityAccount/Downloads/hgfjgfjbvhr/mtrp.store/indexc622.html	(from https://mtrp.store/)
22:55:27	729/729	---MC-	302	error ('Found')	text/html	date:Mon,%2010%20Oct%202022%2019:55:28%20GMT	https://mtrp.store/redirect/categories/1443018093	C:/Users/WDAGUtilityAccount/Downloads/hgfjgfjbvhr/mtrp.store/redirect/categories/1443018093	(from https://mtrp.store/)
22:55:31	76784/76784	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2019:55:28%20GMT	https://mtrp.store/?currency=QAR	C:/Users/WDAGUtilityAccount/Downloads/hgfjgfjbvhr/mtrp.store/index74e8.html	(from https://mtrp.store/)
22:55:31	76641/76641	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2019:55:28%20GMT	https://mtrp.store/?currency=KWD	C:/Users/WDAGUtilityAccount/Downloads/hgfjgfjbvhr/mtrp.store/indexca82.html	(from https://mtrp.store/)
22:55:31	76630/76630	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2019:55:29%20GMT	https://mtrp.store/?currency=BHD	C:/Users/WDAGUtilityAccount/Downloads/hgfjgfjbvhr/mtrp.store/index3c91.html	(from https://mtrp.store/)
